,SUBJECT,JND_OG,JND_GAUSSIAN,JND_CAUCHY,JND_VM
0,S1,8.673952215083155,6.311425892305769,5.793500917514903,6.2048113080154055
1,S3,7.588818462505028,4.7712034167096835,4.267071246868266,4.969217198150776
2,S4,5.7780054681861035,3.678395537738509,3.4088945867453844,3.68880430229433
3,S6,5.661890766909401,4.096917635898656,3.525931967296774,4.070499954705564
4,S7,6.2098535965918575,3.896466219819862,3.763244932531771,3.9107460077630574
5,S8,5.357405453568801,3.3902286070272893,3.0837464529162433,3.399724648168856
6,s9,4.596893312125516,3.048653496267502,2.846494541092619,3.0528671774090848
7,s10,5.880503566368181,4.236462209245869,3.5756132697439234,4.101082339781703
8,s11,4.877244591288235,3.386728473192348,2.8579949992340445,3.3790336835832178
9,s12,6.629340046198529,4.92010295743933,4.037933107750833,4.87754171281863
10,s13,5.913784998428915,3.4408902852721037,3.534674840059578,3.5942570607896225
11,s14,4.385878918842982,2.8903164723031667,2.6904200626491668,2.8973882610828126
12,s15,4.881293774192574,3.4178011278628864,3.108922255126192,3.4083999346954554
13,mean,5.879605013099175,3.9604301793140757,3.576495629194592,3.9657210453275775
