,DoVM
0,-0.03952519116357758
1,-0.059460855723376435
2,-0.07960436413468434
3,-0.10002525229986685
4,-0.1207932465308447
5,-0.14197827603473315
6,-0.16365046149692425
7,-0.18588007451028224
8,-0.20873746236917362
9,-0.23229293250211525
10,-0.2566165905686626
11,-0.28177812600886315
12,-0.30784653862373884
13,-0.3348897996020864
14,-0.3629744403144752
15,-0.39216506219453123
16,-0.4225237611481937
17,-0.4541094602040068
18,-0.48697714457446345
19,-0.5211769939746644
20,-0.5567534079760632
21,-0.5937439213960491
22,-0.6321780082740212
23,-0.672075774894347
24,-0.7134465446150708
25,-0.7562873399709885
26,-0.8005812706546219
27,-0.8462958395413882
28,-0.8933811829043311
29,-0.9417682653306083
30,-0.9913670545579982
31,-1.0420647064237663
32,-1.0937237952638705
33,-1.1461806302943935
34,-1.199243703597839
35,-1.2526923201451086
36,-1.3062754646034114
37,-1.3597109632810265
38,-1.4126850021922832
39,-1.4648520636282207
40,-1.5158353435235958
41,-1.5652277100589524
42,-1.6125932600855637
43,-1.6574695239019974
44,-1.6993703604821078
45,-1.737789574357031
46,-1.772205271968482
47,-1.8020849595107267
48,-1.8268913662428345
49,-1.846088957274623
50,-1.8591510783222314
51,-1.8655676524249976
52,-1.8648533257600488
53,-1.8565559372309062
54,-1.8402651652680075
55,-1.8156211861428153
56,-1.7823231619641735
57,-1.7401373642792304
58,-1.6889047316649672
59,-1.6285476575894777
60,-1.5590758087157943
61,-1.4805907840976553
62,-1.3932894425339422
63,-1.2974657486130345
64,-1.1935110173279362
65,-1.0819124719431263
66,-0.9632500691466473
67,-0.8381915882882699
68,-0.7074860263468243
69,-0.5719553856949574
70,-0.432484986154544
71,-0.2900124746546877
72,-0.14551574346041962
73,0.0
74,0.14551574346041962
75,0.2900124746546877
76,0.432484986154544
77,0.5719553856949574
78,0.7074860263468243
79,0.8381915882882699
80,0.9632500691466473
81,1.0819124719431263
82,1.1935110173279362
83,1.2974657486130345
84,1.3932894425339422
85,1.4805907840976553
86,1.5590758087157943
87,1.6285476575894777
88,1.6889047316649672
89,1.7401373642792304
90,1.7823231619641735
91,1.8156211861428153
92,1.8402651652680075
93,1.8565559372309062
94,1.8648533257600488
95,1.8655676524249976
96,1.8591510783222314
97,1.846088957274623
98,1.8268913662428345
99,1.8020849595107267
100,1.772205271968482
101,1.737789574357031
102,1.6993703604821078
103,1.6574695239019974
104,1.6125932600855637
105,1.5652277100589524
106,1.5158353435235958
107,1.4648520636282207
108,1.4126850021922832
109,1.3597109632810265
110,1.3062754646034114
111,1.2526923201451086
112,1.199243703597839
113,1.1461806302943935
114,1.0937237952638705
115,1.0420647064237663
116,0.9913670545579982
117,0.9417682653306083
118,0.8933811829043311
119,0.8462958395413882
120,0.8005812706546219
121,0.7562873399709885
122,0.7134465446150708
123,0.672075774894347
124,0.6321780082740212
125,0.5937439213960491
126,0.5567534079760632
127,0.5211769939746644
128,0.48697714457446345
129,0.4541094602040068
130,0.4225237611481937
131,0.39216506219453123
132,0.3629744403144752
133,0.3348897996020864
134,0.30784653862373884
135,0.28177812600886315
136,0.2566165905686626
137,0.23229293250211525
138,0.20873746236917362
139,0.18588007451028224
140,0.16365046149692425
141,0.14197827603473315
142,0.1207932465308447
143,0.10002525229986685
144,0.07960436413468434
145,0.059460855723376435
146,0.03952519116357758
